记录时间：2015-11-29 23:18:04,986 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始连接
记录时间：2015-11-29 23:18:05,994 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]连接成功
记录时间：2015-11-29 23:18:06,196 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 23:18:06,603 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 23:18:06,613 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[195458]下载文件完成
记录时间：2015-11-29 23:18:06,816 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 23:18:07,219 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 23:18:07,228 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[679449]下载文件完成
记录时间：2015-11-29 23:18:37,756 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231837\广东省_LTE-P01_参考信号接收功率.csv】成功
记录时间：2015-11-29 23:18:37,761 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231837\广东省_LTE-P02_参考信号接收质量.csv】成功
记录时间：2015-11-29 23:18:37,768 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231837\广东省_LTE-P03_时间提前量.csv】成功
